118,-12
206,-118
333,-138
238,-11
124,6
-4,74
-118,158
-14,218
-50,302
-42,328
-40,216
-44,88
-44,-22
-54,-32
-90,-38
-108,-40
-74,-46
-118,-38
-112,-58
-148,-50
-146,-44
-146,-62
-168,-70
-192,-70
-182,-76
-192,-98
-214,-98
-184,-114
-184,-118
-168,-116
-144,-120
-128,-128
-84,-112
-46,-104
-36,-98
-2,-72
20,-62
30,-54
32,-42
32,-36
26,-28
32,-8
32,-4
26,-2
26,12
0,8
12,-4
-4,12
10,6
4,2
0,16
26,16
70,14
64,22
70,26
60,36
86,62
106,54
112,44
132,34
132,0
96,4
76,2
40,14
48,2
36,8
42,6
36,10
10,10
6,12
0,10
12,12
-8,0
-24,2
-16,32
234,-102
336,-44
250,83
122,42
-6,110
-50,156
-28,214
-58,294
-36,280
-20,152
-64,24
-134,-10
-132,-18
-160,-16
-138,-26
-158,-24
-154,-26
-174,-28
-164,-24
-166,-42
-194,-38
-208,-40
-230,-62
-228,-78
-260,-76
-268,-92
-278,-112
-250,-114
-264,-118
-234,-124
-208,-120
-164,-108
-136,-110
-118,-88
-86,-72
-54,-62
-28,-52
-26,-26
16,-34
0,4
16,6
-2,10
48,8
-24,24
24,4
-46,14
-36,26
0,10
-20,30
-10,32
-8,34
2,46
24,48
30,70
74,84
74,84
100,68
98,36
72,34
72,18
14,36
14,16
-22,4
-66,26
-14,10
-42,16
-66,22
-48,20
-36,20
-52,22
-36,16
-44,12
-34,42
-8,26
50,-2
168,-102
286,-148
158,-21
58,42
-70,96
-106,164
-98,226
-76,302
-98,340
-106,224
-152,96
-172,-8
-186,-12
-172,-12
-202,-12
-180,-30
-194,-8
-178,-30
-216,-24
-210,-38
-226,-42
-270,-46
-256,-46
-292,-62
-284,-74
-270,-70
-302,-80
-280,-82
-236,-78
-236,-114
-238,-94
-190,-102
-148,-92
-90,-80
-98,-56
-70,-66
-6,-52
-20,-32
6,-32
24,-14
8,-6
-8,-8
18,-6
24,18
46,6
22,16
46,6
26,6
32,6
46,18
66,10
34,16
102,28
98,42
110,64
130,38
150,42
126,22
126,-8
144,-16
84,-10
102,-12
34,-28
36,-20
38,-30
46,-24
14,-4
48,-14
20,-28
18,-6
28,-18
22,-20
40,14
161,-66
288,-110
234,17
196,44
68,78
-60,134
-44,192
0,240
-62,290
-42,222
-42,94
-112,-2
-156,-16
-154,-18
-166,-20
-152,-28
-180,-24
-172,-34
-216,-24
-174,-42
-202,-36
-204,-54
-234,-64
-240,-76
-256,-82
-266,-102
-260,-112
-264,-112
-222,-128
-208,-122
-164,-110
-74,-106
-78,-92
-4,-72
14,-54
42,-46
64,-20
82,-16
84,-4
90,14
92,16
88,28
84,20
68,26
66,30
62,30
54,22
46,26
48,28
56,32
68,22
52,46
100,58
128,70
128,80
160,66
166,52
182,26
178,20
152,8
122,14
132,4
160,-32
160,-154
156,-214
198,-194
90,-268
198,-120
262,-92
152,35
24,24
-86,86
-74,136
-68,194
-118,276
-64,254
-62,126
-116,-2
-196,-28
-178,-38
-194,-50
-204,-42
-196,-38
-218,-48
-208,-50
-236,-52
-260,-60
-286,-62
-270,-70
-312,-78
-322,-94
-338,-98
-332,-112
-334,-110
-310,-110
-304,-122
-266,-118
-228,-104
-200,-100
-152,-88
-106,-76
-82,-56
-42,-50
-32,-36
2,-24
-2,-16
20,-6
20,0
6,12
30,20
18,16
16,26
22,28
10,20
10,16
12,32
42,22
18,16
38,22
70,32
100,46
96,60
142,54
158,40
174,14
164,-4
164,-4
156,-100
122,-180
170,-216
64,-200
-64,-328
84,16
128,-4
226,-114
346,-126
228,1
132,12
4,70
-14,126
10,194
-2,260
4,302
36,208
-6,80
-76,-6
-82,-20
-108,-18
-90,-24
-104,-28
-108,-32
-136,-40
-148,-36
-146,-50
-148,-52
-184,-62
-186,-70
-216,-84
-224,-86
-252,-102
-234,-110
-246,-118
-210,-100
-152,-112
-156,-104
-106,-112
-76,-82
-16,-78
-4,-66
58,-46
68,-30
90,-26
76,2
128,0
112,6
104,22
82,42
98,34
104,38
78,46
74,46
76,46
86,50
66,46
68,50
66,64
104,70
100,90
114,86
136,58
122,44
144,20
140,2
126,4
130,-74
102,-156
104,-208
60,-186
-68,-314
48,22
175,-54
300,-136
272,-9
236,28
108,30
-20,98
-52,162
-8,216
-74,312
-22,254
-48,126
-78,-2
-136,-18
-156,-30
-164,-30
-182,-34
-190,-38
-196,-32
-216,-36
-232,-40
-252,-40
-270,-52
-274,-60
-298,-66
-288,-86
-304,-92
-296,-96
-276,-98
-246,-104
-194,-96
-170,-90
-110,-84
-60,-66
-32,-66
-32,-56
-4,-34
36,-26
28,-6
68,8
52,10
78,16
58,16
36,30
56,16
46,16
12,30
58,20
38,32
62,22
50,24
78,60
130,64
140,56
162,58
178,30
186,20
178,18
156,12
120,18
132,14
118,14
142,12
124,28
126,20
114,24
122,30
126,22
82,28
126,32
102,66
136,44
180,26
268,-80
388,-108
260,19
160,42
32,106
-8,160
-4,228
12,304
4,326
-6,198
-40,70
-66,-4
-100,-14
-110,-22
-130,-20
-108,-18
-114,-20
-100,-28
-130,-32
-142,-38
-148,-54
-156,-64
-148,-84
-200,-96
-164,-78
-162,-116
-202,-114
-144,-134
-138,-126
-108,-132
-66,-124
-68,-110
0,-84
18,-92
-2,-66
22,-44
76,-24
72,-18
52,-4
62,10
54,12
56,16
50,16
54,22
4,26
26,30
36,30
38,36
32,56
76,74
52,94
98,92
132,86
158,56
138,54
142,46
114,40
78,44
88,16
70,40
102,22
58,32
70,16
48,18
42,8
40,12
2,8
26,4
34,32
-92,242
-114,328
-106,292
-106,164
-74,36
-188,-24
-192,-28
-202,-24
-176,-30
-236,-40
-198,-52
-184,-40
-268,-46
-264,-58
-272,-62
-256,-70
-272,-92
-278,-92
-260,-110
-236,-122
-284,-140
-204,-132
-156,-146
-134,-136
-60,-120
-46,-104
8,-88
22,-64
92,-52
66,-34
80,-24
110,-14
60,-6
104,0
58,4
78,2
40,12
74,-4
28,2
32,-2
2,16
22,4
100,30
66,44
132,52
134,44
148,18
186,-2
172,2
160,-8
140,0
144,-2
128,-8
138,-8
138,-2
148,-10
90,-2
102,2
116,0
122,4
96,-4
108,28
116,10
164,18
274,-76
401,-108
324,19
196,16
68,98
-52,156
-18,210
-48,294
-36,290
-12,162
-94,34
-96,-22
-122,-22
-114,-32
-122,-36
-130,-40
-166,-32
-166,-48
-200,-40
-208,-42
-200,-46
-252,-52
-230,-58
-260,-60
-260,-68
-248,-72
-238,-78
-224,-82
-210,-86
-172,-82
-138,-84
-118,-64
-64,-58
-40,-58
-32,-44
18,-36
-2,-44
14,-34
10,-28
20,-26
18,8
58,-2
24,14
62,6
34,20
22,34
56,30
72,8
66,2
72,-2
26,0
24,2
24,-6
50,-2
46,-4
36,2
32,4
42,10
52,28
152,236
110,312
116,304
150,176
22,48
-106,-10
-116,-26
-152,-18
-158,-32
-148,-30
-168,-28
-182,-26
-184,-34
-190,-38
-198,-28
-212,-44
-204,-40
-228,-42
-200,-52
-238,-54
-226,-58
-224,-66
-218,-70
-222,-70
-202,-86
-176,-74
-164,-86
