attr8800,attr8801,attr8802,attr8803,attr8804,attr8805,attr8806,attr8807,attr8808,attr8809,attr8810,attr8811,attr8812,attr8813,attr8814,attr8815,attr8816,attr8817,attr8818,attr8819,attr8820,attr8821,attr8822,attr8823,attr8824,attr8825,attr8826,attr8827,attr8828,attr8829,attr8830,attr8831,attr8832,attr8833,attr8834,attr8835,attr8836,attr8837,attr8838,attr8839,attr8840
57.3116,51.4626,57.2809,51.3816,57.263,51.3816,57.3574,51.2942,57.3574,51.2942,57.3217,51.2856,56.5514,51.4171,56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,0
57.2809,51.3816,57.263,51.3816,57.3574,51.2942,57.3574,51.2942,57.3217,51.2856,56.5514,51.4171,56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,0
57.263,51.3816,57.3574,51.2942,57.3574,51.2942,57.3217,51.2856,56.5514,51.4171,56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,0
57.3574,51.2942,57.3574,51.2942,57.3217,51.2856,56.5514,51.4171,56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,0
57.3574,51.2942,57.3217,51.2856,56.5514,51.4171,56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,57.6277,52.0895,0
57.3217,51.2856,56.5514,51.4171,56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,57.6277,52.0895,57.6223,52.0895,0
56.5514,51.4171,56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,57.6277,52.0895,57.6223,52.0895,57.6223,52.0986,0
56.5514,51.4171,57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,57.6277,52.0895,57.6223,52.0895,57.6223,52.0986,57.2933,52.079,0
57.0507,50.7442,57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,57.6277,52.0895,57.6223,52.0895,57.6223,52.0986,57.2933,52.079,57.2933,51.9301,0
57.0507,50.7442,57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,57.6277,52.0895,57.6223,52.0895,57.6223,52.0986,57.2933,52.079,57.2933,51.9301,57.2729,51.6067,0
