attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24
15226,7,16625,8,16784,9,16881,10,13699,11,13246,12,11234,1,11891,2,14445,3,7282,4,7163,5,7131,6,0
16625,8,16784,9,16881,10,13699,11,13246,12,11234,1,11891,2,14445,3,7282,4,7163,5,7131,6,6712,7,0
16784,9,16881,10,13699,11,13246,12,11234,1,11891,2,14445,3,7282,4,7163,5,7131,6,6712,7,7257,8,0
16881,10,13699,11,13246,12,11234,1,11891,2,14445,3,7282,4,7163,5,7131,6,6712,7,7257,8,7517,9,1
13699,11,13246,12,11234,1,11891,2,14445,3,7282,4,7163,5,7131,6,6712,7,7257,8,7517,9,7963,10,1
13246,12,11234,1,11891,2,14445,3,7282,4,7163,5,7131,6,6712,7,7257,8,7517,9,7963,10,7342,11,0
11234,1,11891,2,14445,3,7282,4,7163,5,7131,6,6712,7,7257,8,7517,9,7963,10,7342,11,6817,12,0
11891,2,14445,3,7282,4,7163,5,7131,6,6712,7,7257,8,7517,9,7963,10,7342,11,6817,12,6729,1,0
14445,3,7282,4,7163,5,7131,6,6712,7,7257,8,7517,9,7963,10,7342,11,6817,12,6729,1,4758,2,1
7282,4,7163,5,7131,6,6712,7,7257,8,7517,9,7963,10,7342,11,6817,12,6729,1,4758,2,9210,3,1
7163,5,7131,6,6712,7,7257,8,7517,9,7963,10,7342,11,6817,12,6729,1,4758,2,9210,3,11279,4,1
7131,6,6712,7,7257,8,7517,9,7963,10,7342,11,6817,12,6729,1,4758,2,9210,3,11279,4,11357,5,1
6712,7,7257,8,7517,9,7963,10,7342,11,6817,12,6729,1,4758,2,9210,3,11279,4,11357,5,10475,6,1
7257,8,7517,9,7963,10,7342,11,6817,12,6729,1,4758,2,9210,3,11279,4,11357,5,10475,6,10539,7,1
7517,9,7963,10,7342,11,6817,12,6729,1,4758,2,9210,3,11279,4,11357,5,10475,6,10539,7,12261,8,1
7963,10,7342,11,6817,12,6729,1,4758,2,9210,3,11279,4,11357,5,10475,6,10539,7,12261,8,11426,9,1
7342,11,6817,12,6729,1,4758,2,9210,3,11279,4,11357,5,10475,6,10539,7,12261,8,11426,9,12067,10,1
6817,12,6729,1,4758,2,9210,3,11279,4,11357,5,10475,6,10539,7,12261,8,11426,9,12067,10,11881,11,0
6729,1,4758,2,9210,3,11279,4,11357,5,10475,6,10539,7,12261,8,11426,9,12067,10,11881,11,10744,12,0
4758,2,9210,3,11279,4,11357,5,10475,6,10539,7,12261,8,11426,9,12067,10,11881,11,10744,12,10020,1,0
9210,3,11279,4,11357,5,10475,6,10539,7,12261,8,11426,9,12067,10,11881,11,10744,12,10020,1,7831,2,1
11279,4,11357,5,10475,6,10539,7,12261,8,11426,9,12067,10,11881,11,10744,12,10020,1,7831,2,10949,3,1
11357,5,10475,6,10539,7,12261,8,11426,9,12067,10,11881,11,10744,12,10020,1,7831,2,10949,3,11991,4,1
10475,6,10539,7,12261,8,11426,9,12067,10,11881,11,10744,12,10020,1,7831,2,10949,3,11991,4,15310,5,1
10539,7,12261,8,11426,9,12067,10,11881,11,10744,12,10020,1,7831,2,10949,3,11991,4,15310,5,15241,6,1
12261,8,11426,9,12067,10,11881,11,10744,12,10020,1,7831,2,10949,3,11991,4,15310,5,15241,6,14690,7,1
11426,9,12067,10,11881,11,10744,12,10020,1,7831,2,10949,3,11991,4,15310,5,15241,6,14690,7,13400,8,1
12067,10,11881,11,10744,12,10020,1,7831,2,10949,3,11991,4,15310,5,15241,6,14690,7,13400,8,15712,9,1
11881,11,10744,12,10020,1,7831,2,10949,3,11991,4,15310,5,15241,6,14690,7,13400,8,15712,9,16138,10,0
10744,12,10020,1,7831,2,10949,3,11991,4,15310,5,15241,6,14690,7,13400,8,15712,9,16138,10,12323,11,0
10020,1,7831,2,10949,3,11991,4,15310,5,15241,6,14690,7,13400,8,15712,9,16138,10,12323,11,12422,12,0
7831,2,10949,3,11991,4,15310,5,15241,6,14690,7,13400,8,15712,9,16138,10,12323,11,12422,12,10162,1,0
10949,3,11991,4,15310,5,15241,6,14690,7,13400,8,15712,9,16138,10,12323,11,12422,12,10162,1,9222,2,1
11991,4,15310,5,15241,6,14690,7,13400,8,15712,9,16138,10,12323,11,12422,12,10162,1,9222,2,13342,3,1
15310,5,15241,6,14690,7,13400,8,15712,9,16138,10,12323,11,12422,12,10162,1,9222,2,13342,3,15414,4,1
15241,6,14690,7,13400,8,15712,9,16138,10,12323,11,12422,12,10162,1,9222,2,13342,3,15414,4,14715,5,1
14690,7,13400,8,15712,9,16138,10,12323,11,12422,12,10162,1,9222,2,13342,3,15414,4,14715,5,12789,6,0
13400,8,15712,9,16138,10,12323,11,12422,12,10162,1,9222,2,13342,3,15414,4,14715,5,12789,6,10794,7,0
15712,9,16138,10,12323,11,12422,12,10162,1,9222,2,13342,3,15414,4,14715,5,12789,6,10794,7,10891,8,0
16138,10,12323,11,12422,12,10162,1,9222,2,13342,3,15414,4,14715,5,12789,6,10794,7,10891,8,11003,9,0
12323,11,12422,12,10162,1,9222,2,13342,3,15414,4,14715,5,12789,6,10794,7,10891,8,11003,9,11417,10,0
12422,12,10162,1,9222,2,13342,3,15414,4,14715,5,12789,6,10794,7,10891,8,11003,9,11417,10,9878,11,0
10162,1,9222,2,13342,3,15414,4,14715,5,12789,6,10794,7,10891,8,11003,9,11417,10,9878,11,9279,12,0
9222,2,13342,3,15414,4,14715,5,12789,6,10794,7,10891,8,11003,9,11417,10,9878,11,9279,12,8236,1,0
252,3,2194,4,1588,5,2099,6,2391,7,2762,8,2628,9,2168,10,2092,11,2716,12,2205,1,1916,2,0
2194,4,1588,5,2099,6,2391,7,2762,8,2628,9,2168,10,2092,11,2716,12,2205,1,1916,2,2153,3,1
1588,5,2099,6,2391,7,2762,8,2628,9,2168,10,2092,11,2716,12,2205,1,1916,2,2153,3,2420,4,1
2099,6,2391,7,2762,8,2628,9,2168,10,2092,11,2716,12,2205,1,1916,2,2153,3,2420,4,3065,5,1
2391,7,2762,8,2628,9,2168,10,2092,11,2716,12,2205,1,1916,2,2153,3,2420,4,3065,5,3529,6,1
2762,8,2628,9,2168,10,2092,11,2716,12,2205,1,1916,2,2153,3,2420,4,3065,5,3529,6,4003,7,1
2628,9,2168,10,2092,11,2716,12,2205,1,1916,2,2153,3,2420,4,3065,5,3529,6,4003,7,3932,8,0
2168,10,2092,11,2716,12,2205,1,1916,2,2153,3,2420,4,3065,5,3529,6,4003,7,3932,8,3125,9,0
2092,11,2716,12,2205,1,1916,2,2153,3,2420,4,3065,5,3529,6,4003,7,3932,8,3125,9,2544,10,0
2716,12,2205,1,1916,2,2153,3,2420,4,3065,5,3529,6,4003,7,3932,8,3125,9,2544,10,2431,11,0
2205,1,1916,2,2153,3,2420,4,3065,5,3529,6,4003,7,3932,8,3125,9,2544,10,2431,11,2582,12,0
1916,2,2153,3,2420,4,3065,5,3529,6,4003,7,3932,8,3125,9,2544,10,2431,11,2582,12,2483,1,0
2153,3,2420,4,3065,5,3529,6,4003,7,3932,8,3125,9,2544,10,2431,11,2582,12,2483,1,2040,2,0
2420,4,3065,5,3529,6,4003,7,3932,8,3125,9,2544,10,2431,11,2582,12,2483,1,2040,2,2507,3,1
3065,5,3529,6,4003,7,3932,8,3125,9,2544,10,2431,11,2582,12,2483,1,2040,2,2507,3,2625,4,1
3529,6,4003,7,3932,8,3125,9,2544,10,2431,11,2582,12,2483,1,2040,2,2507,3,2625,4,2560,5,0
4003,7,3932,8,3125,9,2544,10,2431,11,2582,12,2483,1,2040,2,2507,3,2625,4,2560,5,2261,6,1
3932,8,3125,9,2544,10,2431,11,2582,12,2483,1,2040,2,2507,3,2625,4,2560,5,2261,6,2643,7,1
3125,9,2544,10,2431,11,2582,12,2483,1,2040,2,2507,3,2625,4,2560,5,2261,6,2643,7,2898,8,1
2544,10,2431,11,2582,12,2483,1,2040,2,2507,3,2625,4,2560,5,2261,6,2643,7,2898,8,2702,9,1
2431,11,2582,12,2483,1,2040,2,2507,3,2625,4,2560,5,2261,6,2643,7,2898,8,2702,9,2666,10,0
2582,12,2483,1,2040,2,2507,3,2625,4,2560,5,2261,6,2643,7,2898,8,2702,9,2666,10,2118,11,1
2483,1,2040,2,2507,3,2625,4,2560,5,2261,6,2643,7,2898,8,2702,9,2666,10,2118,11,2733,12,0
2040,2,2507,3,2625,4,2560,5,2261,6,2643,7,2898,8,2702,9,2666,10,2118,11,2733,12,2438,1,0
2507,3,2625,4,2560,5,2261,6,2643,7,2898,8,2702,9,2666,10,2118,11,2733,12,2438,1,1760,2,1
2625,4,2560,5,2261,6,2643,7,2898,8,2702,9,2666,10,2118,11,2733,12,2438,1,1760,2,2770,3,1
2560,5,2261,6,2643,7,2898,8,2702,9,2666,10,2118,11,2733,12,2438,1,1760,2,2770,3,3016,4,0
2261,6,2643,7,2898,8,2702,9,2666,10,2118,11,2733,12,2438,1,1760,2,2770,3,3016,4,2432,5,1
1991,7,2606,8,2301,9,2365,10,1829,11,2366,12,1862,1,1471,2,2295,3,2264,4,2485,5,2590,6,1
2606,8,2301,9,2365,10,1829,11,2366,12,1862,1,1471,2,2295,3,2264,4,2485,5,2590,6,2631,7,1
2301,9,2365,10,1829,11,2366,12,1862,1,1471,2,2295,3,2264,4,2485,5,2590,6,2631,7,2770,8,0
2365,10,1829,11,2366,12,1862,1,1471,2,2295,3,2264,4,2485,5,2590,6,2631,7,2770,8,2406,9,1
1829,11,2366,12,1862,1,1471,2,2295,3,2264,4,2485,5,2590,6,2631,7,2770,8,2406,9,2572,10,0
2366,12,1862,1,1471,2,2295,3,2264,4,2485,5,2590,6,2631,7,2770,8,2406,9,2572,10,1588,11,0
1862,1,1471,2,2295,3,2264,4,2485,5,2590,6,2631,7,2770,8,2406,9,2572,10,1588,11,2312,12,0
1471,2,2295,3,2264,4,2485,5,2590,6,2631,7,2770,8,2406,9,2572,10,1588,11,2312,12,1707,1,0
2295,3,2264,4,2485,5,2590,6,2631,7,2770,8,2406,9,2572,10,1588,11,2312,12,1707,1,1680,2,1
2264,4,2485,5,2590,6,2631,7,2770,8,2406,9,2572,10,1588,11,2312,12,1707,1,1680,2,2797,3,1
2485,5,2590,6,2631,7,2770,8,2406,9,2572,10,1588,11,2312,12,1707,1,1680,2,2797,3,3312,4,0
2590,6,2631,7,2770,8,2406,9,2572,10,1588,11,2312,12,1707,1,1680,2,2797,3,3312,4,2008,5,0
11344,1,9956,2,15593,3,17514,4,15803,5,13408,6,12754,7,15749,8,13958,9,15989,10,14817,11,13901,12,0
9956,2,15593,3,17514,4,15803,5,13408,6,12754,7,15749,8,13958,9,15989,10,14817,11,13901,12,12161,1,0
15593,3,17514,4,15803,5,13408,6,12754,7,15749,8,13958,9,15989,10,14817,11,13901,12,12161,1,11969,2,1
17514,4,15803,5,13408,6,12754,7,15749,8,13958,9,15989,10,14817,11,13901,12,12161,1,11969,2,16864,3,1
15803,5,13408,6,12754,7,15749,8,13958,9,15989,10,14817,11,13901,12,12161,1,11969,2,16864,3,21570,4,1
13408,6,12754,7,15749,8,13958,9,15989,10,14817,11,13901,12,12161,1,11969,2,16864,3,21570,4,22864,5,1
12754,7,15749,8,13958,9,15989,10,14817,11,13901,12,12161,1,11969,2,16864,3,21570,4,22864,5,19900,6,1
15749,8,13958,9,15989,10,14817,11,13901,12,12161,1,11969,2,16864,3,21570,4,22864,5,19900,6,21415,7,1
13958,9,15989,10,14817,11,13901,12,12161,1,11969,2,16864,3,21570,4,22864,5,19900,6,21415,7,26924,8,1
15989,10,14817,11,13901,12,12161,1,11969,2,16864,3,21570,4,22864,5,19900,6,21415,7,26924,8,21781,9,0
14817,11,13901,12,12161,1,11969,2,16864,3,21570,4,22864,5,19900,6,21415,7,26924,8,21781,9,20647,10,0
13901,12,12161,1,11969,2,16864,3,21570,4,22864,5,19900,6,21415,7,26924,8,21781,9,20647,10,16776,11,0
12161,1,11969,2,16864,3,21570,4,22864,5,19900,6,21415,7,26924,8,21781,9,20647,10,16776,11,15856,12,0
11969,2,16864,3,21570,4,22864,5,19900,6,21415,7,26924,8,21781,9,20647,10,16776,11,15856,12,14013,1,0
16864,3,21570,4,22864,5,19900,6,21415,7,26924,8,21781,9,20647,10,16776,11,15856,12,14013,1,13007,2,1
21570,4,22864,5,19900,6,21415,7,26924,8,21781,9,20647,10,16776,11,15856,12,14013,1,13007,2,20271,3,1
22864,5,19900,6,21415,7,26924,8,21781,9,20647,10,16776,11,15856,12,14013,1,13007,2,20271,3,24979,4,1
19900,6,21415,7,26924,8,21781,9,20647,10,16776,11,15856,12,14013,1,13007,2,20271,3,24979,4,23821,5,1
21415,7,26924,8,21781,9,20647,10,16776,11,15856,12,14013,1,13007,2,20271,3,24979,4,23821,5,20973,6,1
26924,8,21781,9,20647,10,16776,11,15856,12,14013,1,13007,2,20271,3,24979,4,23821,5,20973,6,22825,7,1
21781,9,20647,10,16776,11,15856,12,14013,1,13007,2,20271,3,24979,4,23821,5,20973,6,22825,7,26164,8,1
20647,10,16776,11,15856,12,14013,1,13007,2,20271,3,24979,4,23821,5,20973,6,22825,7,26164,8,23961,9,1
16776,11,15856,12,14013,1,13007,2,20271,3,24979,4,23821,5,20973,6,22825,7,26164,8,23961,9,24816,10,0
15856,12,14013,1,13007,2,20271,3,24979,4,23821,5,20973,6,22825,7,26164,8,23961,9,24816,10,20085,11,0
14013,1,13007,2,20271,3,24979,4,23821,5,20973,6,22825,7,26164,8,23961,9,24816,10,20085,11,19253,12,0
13007,2,20271,3,24979,4,23821,5,20973,6,22825,7,26164,8,23961,9,24816,10,20085,11,19253,12,17240,1,0
20271,3,24979,4,23821,5,20973,6,22825,7,26164,8,23961,9,24816,10,20085,11,19253,12,17240,1,14058,2,1
24979,4,23821,5,20973,6,22825,7,26164,8,23961,9,24816,10,20085,11,19253,12,17240,1,14058,2,21077,3,0
23821,5,20973,6,22825,7,26164,8,23961,9,24816,10,20085,11,19253,12,17240,1,14058,2,21077,3,17983,4,1
20973,6,22825,7,26164,8,23961,9,24816,10,20085,11,19253,12,17240,1,14058,2,21077,3,17983,4,20507,5,1
22825,7,26164,8,23961,9,24816,10,20085,11,19253,12,17240,1,14058,2,21077,3,17983,4,20507,5,18593,6,1
26164,8,23961,9,24816,10,20085,11,19253,12,17240,1,14058,2,21077,3,17983,4,20507,5,18593,6,18856,7,1
23961,9,24816,10,20085,11,19253,12,17240,1,14058,2,21077,3,17983,4,20507,5,18593,6,18856,7,21831,8,1
24816,10,20085,11,19253,12,17240,1,14058,2,21077,3,17983,4,20507,5,18593,6,18856,7,21831,8,20735,9,1
20085,11,19253,12,17240,1,14058,2,21077,3,17983,4,20507,5,18593,6,18856,7,21831,8,20735,9,20520,10,0
19253,12,17240,1,14058,2,21077,3,17983,4,20507,5,18593,6,18856,7,21831,8,20735,9,20520,10,17523,11,0
17240,1,14058,2,21077,3,17983,4,20507,5,18593,6,18856,7,21831,8,20735,9,20520,10,17523,11,17211,12,0
14058,2,21077,3,17983,4,20507,5,18593,6,18856,7,21831,8,20735,9,20520,10,17523,11,17211,12,15049,1,0
21077,3,17983,4,20507,5,18593,6,18856,7,21831,8,20735,9,20520,10,17523,11,17211,12,15049,1,13238,2,1
17983,4,20507,5,18593,6,18856,7,21831,8,20735,9,20520,10,17523,11,17211,12,15049,1,13238,2,20715,3,1
20507,5,18593,6,18856,7,21831,8,20735,9,20520,10,17523,11,17211,12,15049,1,13238,2,20715,3,21025,4,1
18593,6,18856,7,21831,8,20735,9,20520,10,17523,11,17211,12,15049,1,13238,2,20715,3,21025,4,21508,5,1
18856,7,21831,8,20735,9,20520,10,17523,11,17211,12,15049,1,13238,2,20715,3,21025,4,21508,5,20918,6,1
21831,8,20735,9,20520,10,17523,11,17211,12,15049,1,13238,2,20715,3,21025,4,21508,5,20918,6,20545,7,1
20735,9,20520,10,17523,11,17211,12,15049,1,13238,2,20715,3,21025,4,21508,5,20918,6,20545,7,24406,8,0
20520,10,17523,11,17211,12,15049,1,13238,2,20715,3,21025,4,21508,5,20918,6,20545,7,24406,8,21504,9,1
17523,11,17211,12,15049,1,13238,2,20715,3,21025,4,21508,5,20918,6,20545,7,24406,8,21504,9,22209,10,0
17211,12,15049,1,13238,2,20715,3,21025,4,21508,5,20918,6,20545,7,24406,8,21504,9,22209,10,17218,11,0
15049,1,13238,2,20715,3,21025,4,21508,5,20918,6,20545,7,24406,8,21504,9,22209,10,17218,11,17368,12,0
13238,2,20715,3,21025,4,21508,5,20918,6,20545,7,24406,8,21504,9,22209,10,17218,11,17368,12,13429,1,0
20715,3,21025,4,21508,5,20918,6,20545,7,24406,8,21504,9,22209,10,17218,11,17368,12,13429,1,6884,2,0
21025,4,21508,5,20918,6,20545,7,24406,8,21504,9,22209,10,17218,11,17368,12,13429,1,6884,2,15319,3,1
21508,5,20918,6,20545,7,24406,8,21504,9,22209,10,17218,11,17368,12,13429,1,6884,2,15319,3,17464,4,1
20918,6,20545,7,24406,8,21504,9,22209,10,17218,11,17368,12,13429,1,6884,2,15319,3,17464,4,16852,5,1
1051,7,3695,8,2302,9,1442,10,1084,11,1063,12,1438,1,1652,2,2389,3,3715,4,2106,5,2591,6,1
3695,8,2302,9,1442,10,1084,11,1063,12,1438,1,1652,2,2389,3,3715,4,2106,5,2591,6,2464,7,1
2302,9,1442,10,1084,11,1063,12,1438,1,1652,2,2389,3,3715,4,2106,5,2591,6,2464,7,2634,8,0
1442,10,1084,11,1063,12,1438,1,1652,2,2389,3,3715,4,2106,5,2591,6,2464,7,2634,8,2464,9,0
1084,11,1063,12,1438,1,1652,2,2389,3,3715,4,2106,5,2591,6,2464,7,2634,8,2464,9,2475,10,0
1063,12,1438,1,1652,2,2389,3,3715,4,2106,5,2591,6,2464,7,2634,8,2464,9,2475,10,2094,11,1
1438,1,1652,2,2389,3,3715,4,2106,5,2591,6,2464,7,2634,8,2464,9,2475,10,2094,11,2695,12,0
1652,2,2389,3,3715,4,2106,5,2591,6,2464,7,2634,8,2464,9,2475,10,2094,11,2695,12,2083,1,0
2389,3,3715,4,2106,5,2591,6,2464,7,2634,8,2464,9,2475,10,2094,11,2695,12,2083,1,2090,2,1
3715,4,2106,5,2591,6,2464,7,2634,8,2464,9,2475,10,2094,11,2695,12,2083,1,2090,2,2483,3,1
2106,5,2591,6,2464,7,2634,8,2464,9,2475,10,2094,11,2695,12,2083,1,2090,2,2483,3,2841,4,0
2591,6,2464,7,2634,8,2464,9,2475,10,2094,11,2695,12,2083,1,2090,2,2483,3,2841,4,2098,5,1
2464,7,2634,8,2464,9,2475,10,2094,11,2695,12,2083,1,2090,2,2483,3,2841,4,2098,5,2448,6,1
2634,8,2464,9,2475,10,2094,11,2695,12,2083,1,2090,2,2483,3,2841,4,2098,5,2448,6,2393,7,1
2464,9,2475,10,2094,11,2695,12,2083,1,2090,2,2483,3,2841,4,2098,5,2448,6,2393,7,2693,8,0
2475,10,2094,11,2695,12,2083,1,2090,2,2483,3,2841,4,2098,5,2448,6,2393,7,2693,8,2416,9,0
2094,11,2695,12,2083,1,2090,2,2483,3,2841,4,2098,5,2448,6,2393,7,2693,8,2416,9,2191,10,0
2695,12,2083,1,2090,2,2483,3,2841,4,2098,5,2448,6,2393,7,2693,8,2416,9,2191,10,2058,11,0
2083,1,2090,2,2483,3,2841,4,2098,5,2448,6,2393,7,2693,8,2416,9,2191,10,2058,11,2267,12,0
2090,2,2483,3,2841,4,2098,5,2448,6,2393,7,2693,8,2416,9,2191,10,2058,11,2267,12,1698,1,0
3275,1,3865,2,3935,3,2903,4,3101,5,3082,6,3479,7,3873,8,3446,9,3577,10,3138,11,2676,12,0
3865,2,3935,3,2903,4,3101,5,3082,6,3479,7,3873,8,3446,9,3577,10,3138,11,2676,12,2759,1,0
3935,3,2903,4,3101,5,3082,6,3479,7,3873,8,3446,9,3577,10,3138,11,2676,12,2759,1,2637,2,1
2903,4,3101,5,3082,6,3479,7,3873,8,3446,9,3577,10,3138,11,2676,12,2759,1,2637,2,3237,3,1
3101,5,3082,6,3479,7,3873,8,3446,9,3577,10,3138,11,2676,12,2759,1,2637,2,3237,3,3543,4,1
3082,6,3479,7,3873,8,3446,9,3577,10,3138,11,2676,12,2759,1,2637,2,3237,3,3543,4,3629,5,1
3479,7,3873,8,3446,9,3577,10,3138,11,2676,12,2759,1,2637,2,3237,3,3543,4,3629,5,3387,6,1
3873,8,3446,9,3577,10,3138,11,2676,12,2759,1,2637,2,3237,3,3543,4,3629,5,3387,6,3849,7,1
3446,9,3577,10,3138,11,2676,12,2759,1,2637,2,3237,3,3543,4,3629,5,3387,6,3849,7,3574,8,1
3577,10,3138,11,2676,12,2759,1,2637,2,3237,3,3543,4,3629,5,3387,6,3849,7,3574,8,3746,9,0
3138,11,2676,12,2759,1,2637,2,3237,3,3543,4,3629,5,3387,6,3849,7,3574,8,3746,9,3298,10,0
2676,12,2759,1,2637,2,3237,3,3543,4,3629,5,3387,6,3849,7,3574,8,3746,9,3298,10,2916,11,0
2759,1,2637,2,3237,3,3543,4,3629,5,3387,6,3849,7,3574,8,3746,9,3298,10,2916,11,2498,12,0
2637,2,3237,3,3543,4,3629,5,3387,6,3849,7,3574,8,3746,9,3298,10,2916,11,2498,12,2167,1,0
3237,3,3543,4,3629,5,3387,6,3849,7,3574,8,3746,9,3298,10,2916,11,2498,12,2167,1,2014,2,0
3543,4,3629,5,3387,6,3849,7,3574,8,3746,9,3298,10,2916,11,2498,12,2167,1,2014,2,2291,3,1
3629,5,3387,6,3849,7,3574,8,3746,9,3298,10,2916,11,2498,12,2167,1,2014,2,2291,3,3870,4,1
3387,6,3849,7,3574,8,3746,9,3298,10,2916,11,2498,12,2167,1,2014,2,2291,3,3870,4,3610,5,1
3849,7,3574,8,3746,9,3298,10,2916,11,2498,12,2167,1,2014,2,2291,3,3870,4,3610,5,3282,6,1
3574,8,3746,9,3298,10,2916,11,2498,12,2167,1,2014,2,2291,3,3870,4,3610,5,3282,6,3997,7,1
3746,9,3298,10,2916,11,2498,12,2167,1,2014,2,2291,3,3870,4,3610,5,3282,6,3997,7,4217,8,1
3298,10,2916,11,2498,12,2167,1,2014,2,2291,3,3870,4,3610,5,3282,6,3997,7,4217,8,4063,9,0
852,12,1098,1,1156,2,976,3,1207,4,1800,5,2028,6,2264,7,2445,8,2196,9,1979,10,1303,11,0
1098,1,1156,2,976,3,1207,4,1800,5,2028,6,2264,7,2445,8,2196,9,1979,10,1303,11,852,12,0
1156,2,976,3,1207,4,1800,5,2028,6,2264,7,2445,8,2196,9,1979,10,1303,11,852,12,1095,1,0
976,3,1207,4,1800,5,2028,6,2264,7,2445,8,2196,9,1979,10,1303,11,852,12,1095,1,581,2,0
1207,4,1800,5,2028,6,2264,7,2445,8,2196,9,1979,10,1303,11,852,12,1095,1,581,2,796,3,1
1800,5,2028,6,2264,7,2445,8,2196,9,1979,10,1303,11,852,12,1095,1,581,2,796,3,1608,4,1
2028,6,2264,7,2445,8,2196,9,1979,10,1303,11,852,12,1095,1,581,2,796,3,1608,4,2196,5,1
2264,7,2445,8,2196,9,1979,10,1303,11,852,12,1095,1,581,2,796,3,1608,4,2196,5,2104,6,1
2445,8,2196,9,1979,10,1303,11,852,12,1095,1,581,2,796,3,1608,4,2196,5,2104,6,2194,7,1
2196,9,1979,10,1303,11,852,12,1095,1,581,2,796,3,1608,4,2196,5,2104,6,2194,7,1866,8,1
1979,10,1303,11,852,12,1095,1,581,2,796,3,1608,4,2196,5,2104,6,2194,7,1866,8,2160,9,1
1303,11,852,12,1095,1,581,2,796,3,1608,4,2196,5,2104,6,2194,7,1866,8,2160,9,2028,10,0
852,12,1095,1,581,2,796,3,1608,4,2196,5,2104,6,2194,7,1866,8,2160,9,2028,10,1549,11,0
1095,1,581,2,796,3,1608,4,2196,5,2104,6,2194,7,1866,8,2160,9,2028,10,1549,11,1507,12,0
581,2,796,3,1608,4,2196,5,2104,6,2194,7,1866,8,2160,9,2028,10,1549,11,1507,12,1469,1,0
917,1,2271,2,2732,3,2590,4,2471,5,2250,6,2890,7,2662,8,2429,9,2101,10,1593,11,1981,12,0
2271,2,2732,3,2590,4,2471,5,2250,6,2890,7,2662,8,2429,9,2101,10,1593,11,1981,12,1702,1,1
2732,3,2590,4,2471,5,2250,6,2890,7,2662,8,2429,9,2101,10,1593,11,1981,12,1702,1,2128,2,1
2590,4,2471,5,2250,6,2890,7,2662,8,2429,9,2101,10,1593,11,1981,12,1702,1,2128,2,2161,3,1
2471,5,2250,6,2890,7,2662,8,2429,9,2101,10,1593,11,1981,12,1702,1,2128,2,2161,3,2785,4,1
2250,6,2890,7,2662,8,2429,9,2101,10,1593,11,1981,12,1702,1,2128,2,2161,3,2785,4,3006,5,1
2890,7,2662,8,2429,9,2101,10,1593,11,1981,12,1702,1,2128,2,2161,3,2785,4,3006,5,2595,6,1
2662,8,2429,9,2101,10,1593,11,1981,12,1702,1,2128,2,2161,3,2785,4,3006,5,2595,6,3006,7,1
2429,9,2101,10,1593,11,1981,12,1702,1,2128,2,2161,3,2785,4,3006,5,2595,6,3006,7,3068,8,0
2101,10,1593,11,1981,12,1702,1,2128,2,2161,3,2785,4,3006,5,2595,6,3006,7,3068,8,2500,9,0
1593,11,1981,12,1702,1,2128,2,2161,3,2785,4,3006,5,2595,6,3006,7,3068,8,2500,9,2559,10,0
1981,12,1702,1,2128,2,2161,3,2785,4,3006,5,2595,6,3006,7,3068,8,2500,9,2559,10,2207,11,0
1702,1,2128,2,2161,3,2785,4,3006,5,2595,6,3006,7,3068,8,2500,9,2559,10,2207,11,2150,12,0
2128,2,2161,3,2785,4,3006,5,2595,6,3006,7,3068,8,2500,9,2559,10,2207,11,2150,12,1553,1,0
2161,3,2785,4,3006,5,2595,6,3006,7,3068,8,2500,9,2559,10,2207,11,2150,12,1553,1,1572,2,0
2785,4,3006,5,2595,6,3006,7,3068,8,2500,9,2559,10,2207,11,2150,12,1553,1,1572,2,2026,3,1
3006,5,2595,6,3006,7,3068,8,2500,9,2559,10,2207,11,2150,12,1553,1,1572,2,2026,3,2798,4,1
2595,6,3006,7,3068,8,2500,9,2559,10,2207,11,2150,12,1553,1,1572,2,2026,3,2798,4,2727,5,1
3006,7,3068,8,2500,9,2559,10,2207,11,2150,12,1553,1,1572,2,2026,3,2798,4,2727,5,2763,6,1
3068,8,2500,9,2559,10,2207,11,2150,12,1553,1,1572,2,2026,3,2798,4,2727,5,2763,6,3025,7,1
2500,9,2559,10,2207,11,2150,12,1553,1,1572,2,2026,3,2798,4,2727,5,2763,6,3025,7,3224,8,0
2559,10,2207,11,2150,12,1553,1,1572,2,2026,3,2798,4,2727,5,2763,6,3025,7,3224,8,2605,9,0
2207,11,2150,12,1553,1,1572,2,2026,3,2798,4,2727,5,2763,6,3025,7,3224,8,2605,9,2832,10,0
2150,12,1553,1,1572,2,2026,3,2798,4,2727,5,2763,6,3025,7,3224,8,2605,9,2832,10,2049,11,0
1553,1,1572,2,2026,3,2798,4,2727,5,2763,6,3025,7,3224,8,2605,9,2832,10,2049,11,2344,12,0
1572,2,2026,3,2798,4,2727,5,2763,6,3025,7,3224,8,2605,9,2832,10,2049,11,2344,12,1506,1,0
2026,3,2798,4,2727,5,2763,6,3025,7,3224,8,2605,9,2832,10,2049,11,2344,12,1506,1,1463,2,0
2798,4,2727,5,2763,6,3025,7,3224,8,2605,9,2832,10,2049,11,2344,12,1506,1,1463,2,1644,3,0
2727,5,2763,6,3025,7,3224,8,2605,9,2832,10,2049,11,2344,12,1506,1,1463,2,1644,3,1713,4,1
