attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24
17977,2,22388,3,29554,4,32671,5,33057,6,32864,7,36086,8,33948,9,36157,10,28995,11,27431,12,23903,1,0
22388,3,29554,4,32671,5,33057,6,32864,7,36086,8,33948,9,36157,10,28995,11,27431,12,23903,1,21485,2,0
29554,4,32671,5,33057,6,32864,7,36086,8,33948,9,36157,10,28995,11,27431,12,23903,1,21485,2,28239,3,0
32671,5,33057,6,32864,7,36086,8,33948,9,36157,10,28995,11,27431,12,23903,1,21485,2,28239,3,25206,4,1
33057,6,32864,7,36086,8,33948,9,36157,10,28995,11,27431,12,23903,1,21485,2,28239,3,25206,4,34739,5,1
32864,7,36086,8,33948,9,36157,10,28995,11,27431,12,23903,1,21485,2,28239,3,25206,4,34739,5,34299,6,1
36086,8,33948,9,36157,10,28995,11,27431,12,23903,1,21485,2,28239,3,25206,4,34739,5,34299,6,33140,7,1
33948,9,36157,10,28995,11,27431,12,23903,1,21485,2,28239,3,25206,4,34739,5,34299,6,33140,7,34195,8,1
36157,10,28995,11,27431,12,23903,1,21485,2,28239,3,25206,4,34739,5,34299,6,33140,7,34195,8,34859,9,1
28995,11,27431,12,23903,1,21485,2,28239,3,25206,4,34739,5,34299,6,33140,7,34195,8,34859,9,34301,10,0
27431,12,23903,1,21485,2,28239,3,25206,4,34739,5,34299,6,33140,7,34195,8,34859,9,34301,10,26994,11,0
23903,1,21485,2,28239,3,25206,4,34739,5,34299,6,33140,7,34195,8,34859,9,34301,10,26994,11,25877,12,0
21485,2,28239,3,25206,4,34739,5,34299,6,33140,7,34195,8,34859,9,34301,10,26994,11,25877,12,22619,1,0
28239,3,25206,4,34739,5,34299,6,33140,7,34195,8,34859,9,34301,10,26994,11,25877,12,22619,1,21317,2,1
25206,4,34739,5,34299,6,33140,7,34195,8,34859,9,34301,10,26994,11,25877,12,22619,1,21317,2,27708,3,1
34739,5,34299,6,33140,7,34195,8,34859,9,34301,10,26994,11,25877,12,22619,1,21317,2,27708,3,32538,4,1
34299,6,33140,7,34195,8,34859,9,34301,10,26994,11,25877,12,22619,1,21317,2,27708,3,32538,4,36895,5,1
33140,7,34195,8,34859,9,34301,10,26994,11,25877,12,22619,1,21317,2,27708,3,32538,4,36895,5,34319,6,1
34195,8,34859,9,34301,10,26994,11,25877,12,22619,1,21317,2,27708,3,32538,4,36895,5,34319,6,33465,7,1
34859,9,34301,10,26994,11,25877,12,22619,1,21317,2,27708,3,32538,4,36895,5,34319,6,33465,7,35804,8,1
34301,10,26994,11,25877,12,22619,1,21317,2,27708,3,32538,4,36895,5,34319,6,33465,7,35804,8,36505,9,1
26994,11,25877,12,22619,1,21317,2,27708,3,32538,4,36895,5,34319,6,33465,7,35804,8,36505,9,39834,10,0
25877,12,22619,1,21317,2,27708,3,32538,4,36895,5,34319,6,33465,7,35804,8,36505,9,39834,10,33101,11,1
22619,1,21317,2,27708,3,32538,4,36895,5,34319,6,33465,7,35804,8,36505,9,39834,10,33101,11,36840,12,0
21317,2,27708,3,32538,4,36895,5,34319,6,33465,7,35804,8,36505,9,39834,10,33101,11,36840,12,31059,1,0
27708,3,32538,4,36895,5,34319,6,33465,7,35804,8,36505,9,39834,10,33101,11,36840,12,31059,1,18792,2,0
32538,4,36895,5,34319,6,33465,7,35804,8,36505,9,39834,10,33101,11,36840,12,31059,1,18792,2,23753,3,1
36895,5,34319,6,33465,7,35804,8,36505,9,39834,10,33101,11,36840,12,31059,1,18792,2,23753,3,31858,4,1
34319,6,33465,7,35804,8,36505,9,39834,10,33101,11,36840,12,31059,1,18792,2,23753,3,31858,4,35167,5,1
2324,11,4634,12,4647,1,4751,2,5442,3,5998,4,6512,5,6093,6,8413,7,8136,8,7217,9,5853,10,1
4634,12,4647,1,4751,2,5442,3,5998,4,6512,5,6093,6,8413,7,8136,8,7217,9,5853,10,7520,11,1
4647,1,4751,2,5442,3,5998,4,6512,5,6093,6,8413,7,8136,8,7217,9,5853,10,7520,11,7674,12,0
4751,2,5442,3,5998,4,6512,5,6093,6,8413,7,8136,8,7217,9,5853,10,7520,11,7674,12,7206,1,1
5442,3,5998,4,6512,5,6093,6,8413,7,8136,8,7217,9,5853,10,7520,11,7674,12,7206,1,7410,2,1
5998,4,6512,5,6093,6,8413,7,8136,8,7217,9,5853,10,7520,11,7674,12,7206,1,7410,2,9147,3,0
6512,5,6093,6,8413,7,8136,8,7217,9,5853,10,7520,11,7674,12,7206,1,7410,2,9147,3,7161,4,1
6093,6,8413,7,8136,8,7217,9,5853,10,7520,11,7674,12,7206,1,7410,2,9147,3,7161,4,9342,5,1
8413,7,8136,8,7217,9,5853,10,7520,11,7674,12,7206,1,7410,2,9147,3,7161,4,9342,5,9220,6,1
8136,8,7217,9,5853,10,7520,11,7674,12,7206,1,7410,2,9147,3,7161,4,9342,5,9220,6,9025,7,1
7217,9,5853,10,7520,11,7674,12,7206,1,7410,2,9147,3,7161,4,9342,5,9220,6,9025,7,9561,8,1
5853,10,7520,11,7674,12,7206,1,7410,2,9147,3,7161,4,9342,5,9220,6,9025,7,9561,8,9047,9,1
7520,11,7674,12,7206,1,7410,2,9147,3,7161,4,9342,5,9220,6,9025,7,9561,8,9047,9,8987,10,0
7674,12,7206,1,7410,2,9147,3,7161,4,9342,5,9220,6,9025,7,9561,8,9047,9,8987,10,8180,11,0
7206,1,7410,2,9147,3,7161,4,9342,5,9220,6,9025,7,9561,8,9047,9,8987,10,8180,11,7171,12,0
