@relation trainingData

@attribute attr13200 numeric
@attribute attr13201 numeric
@attribute attr13202 numeric
@attribute attr13203 numeric
@attribute attr13204 numeric
@attribute attr13205 numeric
@attribute attr13206 numeric
@attribute attr13207 numeric
@attribute attr13208 numeric
@attribute attr13209 numeric
@attribute attr13210 numeric
@attribute attr13211 numeric
@attribute attr13212 numeric
@attribute attr13213 numeric
@attribute attr13214 numeric
@attribute attr13215 numeric
@attribute attr13216 numeric
@attribute attr13217 numeric
@attribute attr13218 numeric
@attribute attr13219 numeric
@attribute attr13220 numeric
@attribute attr13221 numeric
@attribute attr13222 numeric
@attribute attr13223 numeric
@attribute attr13224 numeric
@attribute attr13225 numeric
@attribute attr13226 numeric
@attribute attr13227 numeric
@attribute attr13228 numeric
@attribute attr13229 numeric
@attribute attr13230 numeric
@attribute attr13231 numeric
@attribute attr13232 numeric
@attribute attr13233 numeric
@attribute attr13234 numeric
@attribute attr13235 numeric
@attribute attr13236 numeric
@attribute attr13237 numeric
@attribute attr13238 numeric
@attribute attr13239 numeric
@attribute attr13240 numeric
@attribute attr13241 numeric
@attribute attr13242 numeric
@attribute attr13243 numeric
@attribute attr13244 numeric
@attribute attr13245 numeric
@attribute attr13246 numeric
@attribute attr13247 numeric
@attribute attr13248 numeric
@attribute attr13249 numeric
@attribute attr13250 numeric
@attribute attr13251 numeric
@attribute attr13252 numeric
@attribute attr13253 numeric
@attribute attr13254 numeric
@attribute attr13255 numeric
@attribute attr13256 numeric
@attribute attr13257 numeric
@attribute attr13258 numeric
@attribute attr13259 numeric
@attribute attr13260 numeric

@data
240,57,51,130,57,51,191,57,51,360,57,51,283,57,51,139,57,51,156,57,51,877,57,51,703,57,51,216,57,51,151,57,52,142,58,52,248,57,52,1057,57,51,881,57,51,517,57,51,149,58,52,708,57,52,1038,57,52,862,58,52,0
130,57,51,191,57,51,360,57,51,283,57,51,139,57,51,156,57,51,877,57,51,703,57,51,216,57,51,151,57,52,142,58,52,248,57,52,1057,57,51,881,57,51,517,57,51,149,58,52,708,57,52,1038,57,52,862,58,52,152,58,52,0
191,57,51,360,57,51,283,57,51,139,57,51,156,57,51,877,57,51,703,57,51,216,57,51,151,57,52,142,58,52,248,57,52,1057,57,51,881,57,51,517,57,51,149,58,52,708,57,52,1038,57,52,862,58,52,152,58,52,177,58,52,0
360,57,51,283,57,51,139,57,51,156,57,51,877,57,51,703,57,51,216,57,51,151,57,52,142,58,52,248,57,52,1057,57,51,881,57,51,517,57,51,149,58,52,708,57,52,1038,57,52,862,58,52,152,58,52,177,58,52,219,57,52,0
283,57,51,139,57,51,156,57,51,877,57,51,703,57,51,216,57,51,151,57,52,142,58,52,248,57,52,1057,57,51,881,57,51,517,57,51,149,58,52,708,57,52,1038,57,52,862,58,52,152,58,52,177,58,52,219,57,52,678,57,52,0
139,57,51,156,57,51,877,57,51,703,57,51,216,57,51,151,57,52,142,58,52,248,57,52,1057,57,51,881,57,51,517,57,51,149,58,52,708,57,52,1038,57,52,862,58,52,152,58,52,177,58,52,219,57,52,678,57,52,597,57,52,0
156,57,51,877,57,51,703,57,51,216,57,51,151,57,52,142,58,52,248,57,52,1057,57,51,881,57,51,517,57,51,149,58,52,708,57,52,1038,57,52,862,58,52,152,58,52,177,58,52,219,57,52,678,57,52,597,57,52,183,57,52,0
242,58,51,299,57,52,479,57,51,166,57,51,136,57,52,144,58,52,537,58,52,792,58,52,314,57,52,148,57,52,225,57,52,328,57,52,568,57,51,236,57,51,160,57,52,109,58,52,306,58,52,999,57,52,852,57,52,357,57,52,0
299,57,52,479,57,51,166,57,51,136,57,52,144,58,52,537,58,52,792,58,52,314,57,52,148,57,52,225,57,52,328,57,52,568,57,51,236,57,51,160,57,52,109,58,52,306,58,52,999,57,52,852,57,52,357,57,52,322,57,52,0
479,57,51,166,57,51,136,57,52,144,58,52,537,58,52,792,58,52,314,57,52,148,57,52,225,57,52,328,57,52,568,57,51,236,57,51,160,57,52,109,58,52,306,58,52,999,57,52,852,57,52,357,57,52,322,57,52,295,57,52,0
