attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5.575,5.7253,5.7253,5.7724,5.792,5.7901,5.8686,5.88630000000001,5.88630000000001,5.8077,5.80580000000001,5.83920000000001,5.88630000000001,5.8745,5.8411,5.82729999999999,5.85680000000001,5.7272,5.7773,5.7949,5.7959,5.74769999999999,5.76439999999999,5.7959,5.7959,5.87649999999999,5.794,5.7782,5.8421,5.8745,5.9074,5.94029999999999,5.7586,5.6465,5.6122,5.54810000000001,5.5453,5.43300000000001,5.498,5.4813,5.5788,5.7458,5.73695,5.7281,5.7615,5.7811,5.845,5.9118,5.84399999999999,5.6456,5.656
45.733,45.785,45.785,45.93,45.8691,45.9364,45.9309,45.9337,45.8467,45.905,45.905,45.9154,46.0178,46.0192,45.9673,46.0347,45.9687,46.1047,46.1047,46.0438,45.9414,45.9127,45.9337,45.9154,46.0088,46.0256,46.0424,46.1215,46.1564,46.3517,46.3038,46.2804,46.1629,46.16355,46.1642,46.0699,46.0453,46.0699,46.0957,46.0816,46.0325,46.0325,45.9591,46.0044,45.9206,45.9206,45.8794,45.7726,45.6067,45.4211,46.5687
