0,2,2208,3
0,2,2216,3
0,2,2226,3
0,2,2229,3
0,2,2232,3
0,2,2234,3
0,2,2241,3
0,2,2268,3
0,2,2278,3
0,2,2281,3
0,2,2283,3
0,2,2286,3
0,2,2305,3
0,2,2308,3
0,2,2312,3
0,2,2313,3
0,2,2316,3
0,2,2336,3
0,2,2346,3
0,2,2347,3
0,2,2365,3
0,2,2370,3
0,2,2373,3
0,2,2379,3
0,2,2381,3
0,2,2389,3
0,2,2392,3
0,2,2393,3
0,2,2394,3
0,2,193,1
0,2,386,1
0,2,410,1
0,2,411,1
0,2,414,1
0,2,419,1
0,2,421,1
0,2,443,1
0,2,497,1
0,2,527,1
0,2,550,1
0,2,580,2
0,2,592,1
0,2,594,1
0,2,648,1
0,2,654,1
0,2,655,2
0,2,657,1
0,2,661,2
0,2,664,1
