@relation flights

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric

@data
5463,34,6120,5,2,5650,36,6480,6,2,5944,40,7200,7,3,5853,36,6480,8,3,4862,32,5760,9,3,5518,36,6480,10,4,5156,34,6120,11,4,4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,0
5650,36,6480,6,2,5944,40,7200,7,3,5853,36,6480,8,3,4862,32,5760,9,3,5518,36,6480,10,4,5156,34,6120,11,4,4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,0
5944,40,7200,7,3,5853,36,6480,8,3,4862,32,5760,9,3,5518,36,6480,10,4,5156,34,6120,11,4,4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,3437,24,4320,6,2,0
5853,36,6480,8,3,4862,32,5760,9,3,5518,36,6480,10,4,5156,34,6120,11,4,4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,3437,24,4320,6,2,4115,30,5400,7,3,0
4862,32,5760,9,3,5518,36,6480,10,4,5156,34,6120,11,4,4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,3437,24,4320,6,2,4115,30,5400,7,3,4064,26,4680,8,3,1
5518,36,6480,10,4,5156,34,6120,11,4,4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,3437,24,4320,6,2,4115,30,5400,7,3,4064,26,4680,8,3,4561,32,5760,9,3,1
5156,34,6120,11,4,4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,3437,24,4320,6,2,4115,30,5400,7,3,4064,26,4680,8,3,4561,32,5760,9,3,4461,32,5760,10,4,0
4395,36,6480,12,4,4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,3437,24,4320,6,2,4115,30,5400,7,3,4064,26,4680,8,3,4561,32,5760,9,3,4461,32,5760,10,4,3367,26,4680,11,4,0
4456,34,6120,1,1,4227,32,5760,2,1,5004,37,6660,3,1,4920,36,6480,4,2,4015,30,5400,5,2,3437,24,4320,6,2,4115,30,5400,7,3,4064,26,4680,8,3,4561,32,5760,9,3,4461,32,5760,10,4,3367,26,4680,11,4,3648,29,5220,12,4,0
20596,376,44223,1,1,17100,314,36096,2,1,24256,373,45560,3,1,28678,367,44152,4,2,30552,388,48076,5,2,32156,380,47733,6,2,32121,380,47420,7,3,32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,0
17100,314,36096,2,1,24256,373,45560,3,1,28678,367,44152,4,2,30552,388,48076,5,2,32156,380,47733,6,2,32121,380,47420,7,3,32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,0
24256,373,45560,3,1,28678,367,44152,4,2,30552,388,48076,5,2,32156,380,47733,6,2,32121,380,47420,7,3,32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,1
28678,367,44152,4,2,30552,388,48076,5,2,32156,380,47733,6,2,32121,380,47420,7,3,32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,1
30552,388,48076,5,2,32156,380,47733,6,2,32121,380,47420,7,3,32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,1
